Group,Department
資訊,資訊工程學
資訊,資訊科學
資訊,資訊管理學
資訊,遊戲與多媒體應用學
工程,電機工程學
工程,機械工程學
工程,土木工程學
工程,材料工程學
工程,化學工程學
工程,工業工程學
工程,電子工程學
工程,通訊工程學
工程,光電工程學
數理化,數學
數理化,物理學
數理化,化學
數理化,統計學
醫藥衛生,中西醫學
醫藥衛生,口腔醫學
醫藥衛生,藥學
醫藥衛生,護理學
醫藥衛生,公共衛生學
醫藥衛生,營養學
醫藥衛生,醫學技術與檢驗學
醫藥衛生,復健治療學
生命科學,生命科學
生命科學,生物科技學
生命科學,生化科技學
生命科學,生物醫學科學
生命科學,生物學
生物資源,動物科學
生物資源,食品科學
生物資源,農藝學
生物資源,園藝學
生物資源,獸醫學
生物資源,森林學
生物資源,漁業資源學
地球與環境,地球科學
地球與環境,大氣科學
地球與環境,地理與地質科學
地球與環境,環境工程與科學
建築與設計,建築學
建築與設計,工業設計學
建築與設計,商業設計學
建築與設計,景觀與空間設計學
建築與設計,時尚與服裝設計學
建築與設計,都市計畫學
建築與設計,美容與美髮設計學
建築與設計,產品與工藝設計學
建築與設計,媒體與視覺傳達設計學
藝術,美術學
藝術,音樂學
藝術,戲劇學
藝術,舞蹈學
藝術,視覺與藝術創作學
社會與心理,社會學
社會與心理,社會工作學
社會與心理,心理學
社會與心理,輔導學
社會與心理,幼兒保育學
社會與心理,老年服務學
社會與心理,宗教與生死學
社會與心理,人類與民族學
大眾傳播,大眾傳播學
大眾傳播,新聞學
大眾傳播,廣播電視學
大眾傳播,電影學
大眾傳播,廣告學
大眾傳播,資訊傳播學
外語,英美語文學
外語,日本語文學
外語,韓國語文學
外語,歐洲語文學
外語,翻譯學
文史哲,中國文學
文史哲,歷史學
文史哲,哲學
文史哲,臺灣文學
文史哲,文化創意產業學
教育,教育學
教育,特殊教育學
教育,幼兒教育學
教育,成人教育學
教育,公民教育學
教育,學科教育學
法政,法律學
法政,財經法律學
法政,政治學
法政,外交與國際事務學
法政,公共行政學
管理,企業管理學
管理,行銷學
管理,運輸管理學
管理,流通管理學
管理,人力資源學
管理,醫務管理學
管理,管理科學學
管理,工業與商業管理學
財經,財務金融學
財經,會計學
財經,經濟學
財經,國際貿易學
財經,風險管理與保險學
財經,財政與稅務學
遊憩與運動,觀光學
遊憩與運動,餐飲與餐旅管理學
遊憩與運動,旅館與旅運管理學
遊憩與運動,休閒與遊憩學
遊憩與運動,體育與運動學
