name,pos
國立政治大學,臺北市文山區指南路2段64號
國立清華大學,新竹市光復路2段101號
國立臺灣大學,臺北市大安區羅斯福路4段1號
國立臺灣師範大學,臺北市大安區和平東路1段162號
國立交通大學,新竹市大學路1001號
國立中央大學,桃園市中壢區中大路300號
國立臺灣海洋大學,基隆市北寧路2號
國立陽明大學,臺北市北投區立農街2段155號
國立臺北大學,新北市三峽區大學路151號
國立臺北藝術大學,臺北市北投區學園路1號
國立臺灣藝術大學,新北市板橋區大觀路1段59號
國立聯合大學,苗栗縣苗栗市南勢里聯大二號
國立臺北教育大學,臺北市和平東路2段134號
國立體育大學,桃園市龜山區文化一路250號
臺北市立大學,臺北市中正區愛國西路1號
國立臺灣科技大學,臺北市大安區基隆路四段43號
國立臺北科技大學,臺北市忠孝東路三段1號
國立臺北護理健康大學,臺北市北投區明德路365號
國立臺北商業大學,臺北市中正區濟南路一段321號
國立臺灣戲曲學院,臺北市內湖區內湖路二段177號
國立空中大學,新北市蘆洲區中正路 172 號
輔仁大學,新北市新莊區中正路510號
東吳大學,臺北市士林區臨溪路70號
中原大學,桃園市中壢區中北路200號
淡江大學,新北市淡水區英專路151號
中國文化大學,臺北市士林區華岡路55號
長庚大學,桃園市龜山區文化一路259號
元智大學,桃園市中壢區遠東路135號
中華大學學校財團法人中華大學,新竹市東香里六鄰五福路2段707號
華梵大學,新北市石碇區華梵路1號
世新大學,臺北市文山區木柵路1段17巷1號
銘傳大學,臺北市士林區中山北路5段250號
實踐大學,臺北市中山區大直街70號
真理大學,新北市淡水區真理街32號
大同大學,臺北市中山北路3段40號
臺北醫學大學,臺北市信義區吳興街250號
玄奘大學,新竹市香山區玄奘路48號
開南大學,桃園市蘆竹區開南路1號
康寧學校財團法人康寧大學,台北市內湖區康寧路三段75巷137號
馬偕學校財團法人馬偕醫學院,新北市三芝區中正路3段46號
法鼓學校財團法人法鼓文理學院,新北市金山區西湖里法鼓路700號
龍華科技大學,桃園市龜山區萬壽路一段300號
明新學校財團法人明新科技大學,新竹縣新豐鄉新興路1號
健行學校財團法人健行科技大學,桃園市中壢區健行路229號
萬能學校財團法人萬能科技大學,桃園市中壢區萬能路1號
明志科技大學,新北市泰山區貴子里工專路84號
聖約翰科技大學,新北市淡水區淡金路四段499號
中國科技大學,臺北市文山區興隆路三段56號
光宇學校財團法人元培醫事科技大學,新竹市元培街306號
景文科技大學,新北市新店區安忠路99號
東南科技大學,新北市深坑區北深路三段152號
德明財經科技大學,臺北市內湖區環山路一段56號
中華學校財團法人中華科技大學,臺北市南港區研究院路三段245號
廣亞學校財團法人育達科技大學,苗栗縣造橋鄉談文村學府路168號
長庚學校財團法人長庚科技大學,桃園市龜山區文化一路261號
城市學校財團法人臺北城市科技大學,臺北市北投區學園路2號
大華學校財團法人大華科技大學,新竹縣芎林鄉大華路1號
醒吾學校財團法人醒吾科技大學,新北市林口區粉寮路一段101號
華夏學校財團法人華夏科技大學,新北市中和區工專路111號
致理學校財團法人致理科技大學,新北市板橋區文化路1段313號
宏國學校財團法人宏國德霖科技大學,新北市土城區青雲路380巷1號
崇右學校財團法人崇右影藝科技大學,基隆市信義區義七路40號
台北海洋學校財團法人台北海洋科技大學,新北市淡水區濱海路三段150號
亞東技術學院,新北市板橋區四川路二段58號
南亞科技學校財團法人南亞技術學院,桃園市中壢區中山東路三段414號
黎明技術學院,新北市泰山區泰林路三段22號
經國管理暨健康學院,基隆市中山區復興路336號
馬偕學校財團法人馬偕醫護管理專科學校,新北市三芝區中正路三段42號
仁德醫護管理專科學校,苗栗縣後龍鎮溪洲里7鄰砂崙湖79-9號
耕莘健康管理專科學校,新北市新店區民族路112號
新生醫護管理專科學校,桃園市龍潭區中豐路高平段418號
學校財團法人中華浸信會基督教台灣浸會神學院,臺北市吳興街394巷1號
臺北基督學院,新北市淡水區自強路51號
台神學校財團法人台灣神學研究學院,台北市士林區仰德大道二段二巷20號
